Name	Handle	Party
Lisa Blunt Rochester	@LisaBRochester	Democrat
Eleanor Holmes Norton	@EleanorNorton	Democrat
Marco Rubio	@marcorubio	Republican
Rick Scott	@ScottforFlorida	Republican
Matt Gaetz	@MattGaetz	Republican
Neal Dunn	@DrNealDunnFL2	Republican
Kat Cammack	@Kat_Cammack	Republican
John Rutherford	@JRutherfordFL	Republican
Al Lawson	@AlLawsonJr	Democrat
Michael Waltz	@RepMichaelWaltz	Republican
Stephanie Murphy	@SMurphyCongress	Democrat
Bill Posey	@congbillposey	Republican
Darren Soto	@RepDarrenSoto	Democrat
Val Demings	@Val_Demings	Democrat
Daniel Webster	@RepWebster	Republican
Gus M. Bilirakis	@RepGusBilirakis	Republican
Charlie Crist	@CharlieCrist	Democrat
Kathy Castor	@USRepKCastor	Democrat
Scott Franklin	@ScottFranklinFL	Republican
Vern Buchanan	@VernBuchanan	Republican
W. Gregory Steube	@RepGregSteube	Republican
Brian Mast	@BrianMastFL	Republican
Francis Rooney	@FrancisRooney	Republican
Alcee L. Hastings	@RepHastingsFL	Democrat
Lois Frankel	@RepLoisFrankel	Democrat
Ted Deutch	@RepTedDeutch	Democrat
Debbie Wasserman Schultz	@RepDWStweets	Democrat
Frederica Wilson	@RepWilson	Democrat
Mario Diaz-Balart	@MarioDB	Republican
Carlos Gim�nez	@RepCarlos	Republican
Maria Elvira Salazar	@MaElviraSalazar	Republican
Jon Ossoff	@ossoff	Democrat
Raphael Warnock	@ReverendWarnock	Democrat
Buddy Carter	@RepBuddyCarter	Republican
Sanford D. Bishop Jr.	@SanfordBishop	Democrat
Drew Ferguson	@DrewFergusonGA	Republican
Henry C. �Hank� Jr. Johnson	@RepHankJohnson	Democrat
Nikema Williams	@NikemaWilliams	Democrat
Lucy McBath	@RepLucyMcBath	Democrat
Carolyn Bourdeaux	@RepBourdeaux	Democrat
Austin Scott	@AustinScottGA08	Republican
Andrew Clyde		Republican
Jody Hice	@CongressmanHice	Republican
Barry Loudermilk	@RepLoudermilk	Republican
Rick Allen	@RepRickAllen	Republican
David Scott	@repdavidscott	Democrat
Marjorie Taylor Greene	@mtgreenee	Republican
Michael F.Q. San Nicolas	@GuamCongressman	Democrat
Brian Schatz	@SenBrianSchatz	Democrat
Mazie Hirono	@maziehirono	Democrat
Ed Case	@RepEdCase	Democrat
Kai Kahele	@kaikahele	Democrat
Jim Risch	@SenatorRisch	Republican
Mike Crapo	@MikeCrapo	Republican
Russ Fulcher	@RepRussFulcher	Republican
Mike Simpson	@CongMikeSimpson	Republican
Tammy Duckwort	@SenDuckworth	Democrat
Richard Durbin	@SenatorDurbin	Democrat
Bobby L. Rush	@RepBobbyRush	Democrat
Robin Kelly	@RepRobinKelly	Democrat
Marie Newman	@RepMarieNewman	Democrat
Jesus �Chuy� Garcia	@RepChuyGarcia	Democrat
Mike Quigley	@RepMikeQuigley	Democrat
Sean Casten	@RepCasten	Democrat
Danny K. Davis	@RepDannyDavis	Democrat
Raja Krishnamoorthi	@RajaForCongress	Democrat
Jan Schakowsky	@janschakowsky	Democrat
Bradley Schneider	@RepSchneider	Democrat
Bill Foster	@RepBillFoster	Democrat
Mike Bost	@RepBost	Republican
Rodney Davis	@RodneyDavis	Republican
Lauren Underwood	@RepUnderwood	Democrat
Mary Miller	@RepMaryMiller	Republican
Adam Kinzinger	@RepKinzinger	Republican
Cheri Bustos	@RepCheri	Democrat
Darin LaHood	@ElectLaHood	Republican
Mike Braun	@Braun4Indiana	Republican
Todd Young	@SenToddYoung	Republican
Frank Mrvan	@RepMrvan	Democrat
Jackie Walorski	@RepWalorski	Republican
Jim Banks	@Jim_Banks	Republican
James Baird	@RepJimBaird	Republican
Victoria Spartz	@Victoria_Spartz	Republican
Greg Pence	@RepGregPence	Republican
Andr� Carson	@RepAndreCarson	Democrat
Larry Bucshon	@RepLarryBucshon	Republican
Trey Hollingsworth	@VoteForTrey	Republican
Chuck Grassley	@ChuckGrassley	Republican
Joni Ernst	@SenJoniErnst	Republican
Ashley Hinson	@RepAshleyHinson	Republican
Mariannette Miller-Meeks	@RepMMM	Republican
Cynthia Axne	@RepCindyAxne	Democrat
Randy Feenstra	@RandyFeenstra	Republican
Roger Marshall	@RogerMarshallMD	Republican
Jerry Moran	@JerryMoran	Republican
Tracey Mann	@TraceyMannKS	Republican
Jake LaTurner	@JakeLaTurner	Republican
Sharice Davids	@sharicedavids	Democrat
Ron Estes	@RepRonEstes	Republican
Rand Paul	@RandPaul	Republican
Mitch McConnell	@McConnellPress	Republican
James Comer	@JamesComer	Republican
S. Brett Guthrie	@RepGuthrie	Republican
John A. Yarmuth	@RepJohnYarmuth	Democrat
Thomas Massie	@RepThomasMassie	Republican
Harold Rogers	@RepHalRogers	Republican
Andy Barr	@RepAndyBarr	Republican
John Kennedy	@JohnKennedyLA	Republican
Bill Cassidy	@BillCassidy	Republican
Steve Scalise	@SteveScalise	Republican
Cedric Richmond	@RepRichmond	Democrat
Clay Higgins	@CaptClayHIggins	Republican
Mike Johnson	@RepMikeJohnson	Republican
Vacant		Democrat
Garret Graves	@RepGarretGraves	Republican
Angus King	@SenAngusKing	Democrat
Susan Collins	@SenatorCollins	Republican
Chellie Pingree	@chelliepingree	Democrat
Jared Golden	@RepGolden	Democrat
Chris Van Hollen	@ChrisVanHollen	Democrat
Benjamin Cardin	@SenatorCardin	Democrat
Andy Harris	@RepAndyHarrisMD	Republican
C. A. Dutch Ruppersberger	@Call_Me_Dutch	Democrat
John P. Sarbanes	@RepSarbanes	Democrat
Anthony Brown	@RepAnthonyBrown	Democrat
Steny H. Hoyer	@LeaderHoyer	Democrat
David Trone	@RepDavidTrone	Democrat
Kweisi Mfume	@Mfume4Congress	Democrat
Jamie Raskin	@Jamie_Raskin	Democrat
Elizabeth Warren	@SenWarren	Democrat
Edward Markey	@SenMarkey	Democrat
Richard E. Neal	@RepRichardNeal	Democrat
James McGovern	@RepMcGovern	Democrat
Lori Trahan	@RepLoriTrahan	Democrat
Jake Auchincloss	@JakeAuch	Democrat
Katherine Clark	@RepKClark	Democrat
Seth Moulton	@teammoulton	Democrat
Ayanna Pressley	@RepPressley	Democrat
Stephen F. Lynch	@RepStephenLynch	Democrat
William Keating	@USRepKeating	Democrat
Debbie Stabenow	@SenStabenow	Democrat
Gary Peters	@SenGaryPeters	Democrat
Jack Bergman	@JackBergman_MI1	Republican
Bill Huizenga	@RepHuizenga	Republican
Peter Meijer	@VoteMeijer	Republican
John Moolenaar	@RepMoolenaar	Republican
Daniel Kildee	@RepDanKildee	Democrat
Fred Upton	@RepFredUpton	Republican
Tim Walberg	@RepWalberg	Republican
Elissa Slotkin	@RepSlotkin	Democrat
Andy Levin	@RepAndyLevin	Democrat
Lisa McClain	@LisaForCongress	Republican
Haley Stevens	@RepHaleyStevens	Democrat
Debbie Dingell	@RepDebDingell	Democrat
Rashida Tlaib	@RepRashida	Democrat
Brenda Lawrence	@RepLawrence	Democrat
Amy Klobuchar	@amyklobuchar	Democrat
Tina Smith	@SenTinaSmith	Democrat
Jim Hagedorn	@RepHagedorn	Republican
Angie Craig	@RepAngieCraig	Democrat
Dean Phillips	@RepDeanPhillips	Democrat
Betty McCollum	@BettyMcCollum04	Democrat
Ilhan Omar	@IlhanMN	Democrat
Tom Emmer	@RepTomEmmer	Republican
Michelle Fischbach	@FischbachMN7	Republican
Pete Stauber	@RepPeteStauber	Republican
Roger Wicker	@SenatorWicker	Republican
Cindy Hyde-Smith	@SenHydeSmith	Republican
Trent Kelly	@RepTrentKelly	Republican
Bennie G. Thompson	@BennieGThompson	Democrat
Michael Guest	@RepMichaelGuest	Republican
Steven Palazzo	@CongPalazzo	Republican
Josh Hawley	@HawleyMO	Republican
Roy Blunt	@RoyBlunt	Republican
Cori Bush	@CoriBush	Democrat
Ann Wagner	@RepAnnWagner	Republican
Blaine Luetkemeyer	@RepBlaine	Republican
Vicky Hartzler	@RepHartzler	Republican
Emanuel Cleaver	@repcleaver	Democrat
Sam Graves	@RepSamGraves	Republican
Billy Long	@USRepLong	Republican
Jason Smith	@RepJasonSmith	Republican
Jon Tester	@SenatorTester	Democrat
Steve Daines	@SteveDaines	Republican
Matt Rosendale	@MattForMontana	Republican
Ben Sasse	@SenSasse	Republican
Deb Fischer	@SenatorFischer	Republican
Jeff Fortenberry	@JeffFortenberry	Republican
Don Bacon	@RepDonBacon	Republican
Adrian Smith	@RepAdrianSmith	Republican
Jacky Rosen	@SenJackyRosen	Democrat
Catherine Cortez Mastro	@CatherineForNV	Democrat
Dina Titus	@repdinatitus	Democrat
Mark Amodei	@MarkAmodeiNV2	Republican
Susie Lee	@RepSusieLee	Democrat
Steven Horsford	@RepHorsford	Democrat
Jeanne Shaheen	@SenatorShaheen	Democrat
Maggie Hassan	@Maggie_Hassan	Democrat
Chris Pappas	@RepChrisPappas	Democrat
Ann Kuster	@RepAnnieKuster	Democrat
Robert Menendez	@SenatorMenendez	Democrat
Cory Booker	@CoryBooker	Democrat
Donald Norcross	@DonNorcross4NJ	Democrat
Jefferson Van Drew	@JeffVanDrew	Democrat
Andy Kim	@RepAndyKimNJ	Democrat
Chris Smith	@RepChrisSmith	Republican
Josh Gottheimer	@JoshGottheimer	Democrat
Frank Pallone Jr.	@FrankPallone	Democrat
Tom Malinowski	@RepMalinowski	Democrat
Albio Sires	@RepSires	Democrat
Bill Pascrell Jr.	@BillPascrell	Democrat
Donald Payne Jr.	@RepDonaldPayne	Democrat
Mikie Sherrill	@RepSherrill	Democrat
Bonnie Watson Coleman	@RepBonnie	Democrat
